City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,menaka,15.9182,2.4022,29.21,54,98,4.88,ML,1715142225
109,bardai,11.65,7.2333,25.17,60,82,3.57,NG,1715142225
110,wailua homesteads,22.0669,-159.378,26.24,77,75,5.66,US,1715142225
111,ouadda,8.0777,22.4007,24.86,32,61,2.1,CF,1715142225
112,huarmey,-10.0681,-78.1522,19.42,89,55,4.71,PE,1715142225
113,manismata,-2.4667,111.0333,32.83,54,99,1.81,ID,1715142226
114,bilibino,68.0546,166.4372,1.22,80,100,0.85,RU,1715142226
115,sake,-1.5736,29.045,17.24,96,61,0.5,CD,1715142226
116,brezina,33.0989,1.2608,14.76,54,1,6.14,DZ,1715142226
117,port mathurin,-19.6833,63.4167,25.64,67,88,11.11,MU,1715142226
118,washim,20.1,77.15,32.36,36,0,1.38,IN,1715142227
119,marrakesh,31.6315,-8.0083,19.04,48,0,2.06,MA,1715142227
120,lompoc,34.6391,-120.4579,12.74,80,0,8.05,US,1715142122
121,georgetown,5.4112,100.3354,32.96,62,20,2.57,MY,1715142148
122,margate,51.3813,1.3862,11.28,84,6,0.89,GB,1715142227
123,saipan,15.1355,145.701,31.39,62,75,5.14,MP,1715142228
124,pisco,-13.7,-76.2167,19.03,88,46,1.54,PE,1715142228
125,namibe,-15.1961,12.1522,23.14,63,0,2.97,AO,1715142228
126,vorgashor,67.5833,63.95,-10.67,85,40,1.87,RU,1715142228
127,aykhal,66.0,111.5,-1.42,90,100,11.02,RU,1715142228
128,coalinga,36.1397,-120.3602,18.14,45,8,2.67,US,1715142229
129,dudinka,69.4058,86.1778,-6.85,87,48,3.58,RU,1715142229
130,banda aceh,5.5577,95.3222,29.98,70,100,1.8,ID,1715142229
131,antalaha,-14.9003,50.2788,23.95,87,81,4.64,MG,1715142229
132,reguiba,33.5639,6.7033,18.03,72,26,1.54,DZ,1715142229
133,birao,10.2849,22.7882,25.12,17,52,2.79,CF,1715142230
134,kapuskasing,49.4169,-82.4331,7.05,70,40,5.66,CA,1715142230
135,kodiak,57.79,-152.4072,4.73,87,100,0.0,US,1715141963
136,ciudad insurgentes,25.2625,-111.7753,16.08,80,75,3.72,MX,1715142230
137,lhokseumawe,5.1801,97.1507,30.83,63,100,1.28,ID,1715142230
138,tura,25.5198,90.2201,32.29,37,87,1.93,IN,1715142230
139,codrington,-38.2667,141.9667,17.81,58,8,3.96,AU,1715142231
140,papatowai,-46.5619,169.4708,6.44,76,100,7.22,NZ,1715142231
141,hasaki,35.7333,140.8333,22.22,82,100,9.49,JP,1715142231
